Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                      21     0.00001      0.00%     1.40%
        FB_WSTRCOMPARE                                                                        21     0.00000      0.00%     0.36%
        GETWINDOWLONGPTR                                                                      21     0.00000      0.00%     0.33%

INITDARKMODE                                                                                   1     0.00001      0.00%

        GETPROCADDRESS                                                                        10     0.00000      0.00%    26.85%
        {fbfp}FvPjS_S_E$1                                                                      1     0.00000      0.00%    14.77%
        GETMODULEHANDLE                                                                        1     0.00000      0.00%    12.08%
        LOADLIBRARYEX                                                                          1     0.00000      0.00%     9.40%
        GETMODULEHANDLEW                                                                       1     0.00000      0.00%     6.04%
        CHECKBUILDNUMBER                                                                       1     0.00000      0.00%     0.67%

ISHIGHCONTRAST                                                                                 1     0.00012      0.00%

        SYSTEMPARAMETERSINFOW                                                                  1     0.00012      0.00%    99.49%

LISTVIEW_GETSUBITEMRECT                                                                       67     0.00213      0.00%

        SNDMSG                                                                                67     0.00210      0.00%    98.58%

MOVEWINDOW                                                                                     5     0.00126      0.00%

        CALLWINDOWPROC                                                                        10     0.00009      0.00%     7.37%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                         10     0.00006      0.00%     5.02%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                         10     0.00002      0.00%     1.28%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                      10     0.00000      0.00%     0.35%
        FB_WSTRCOMPARE                                                                        10     0.00000      0.00%     0.11%
        GETWINDOWLONGPTR                                                                      10     0.00000      0.00%     0.10%

REFRESHTITLEBARTHEMECOLOR                                                                      1     0.00025      0.00%

        ISHIGHCONTRAST                                                                         1     0.00012      0.00%    47.27%
        SETTITLEBARTHEMECOLOR                                                                  1     0.00012      0.00%    47.03%
        {fbfp}FiP6HWND__E$1                                                                    1     0.00001      0.00%     3.92%
        {fbfp}FivE$1                                                                           1     0.00000      0.00%     0.04%

SENDMESSAGEW                                                                                   1     0.00007      0.00%

        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          1     0.00006      0.00%    79.40%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          1     0.00000      0.00%     5.87%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       1     0.00000      0.00%     3.43%
        CALLWINDOWPROC                                                                         1     0.00000      0.00%     2.43%
        FB_WSTRCOMPARE                                                                         1     0.00000      0.00%     0.43%
        GETWINDOWLONGPTR                                                                       1     0.00000      0.00%     0.29%

SETDARKMODE                                                                                    1     0.00042      0.00%

        ISHIGHCONTRAST                                                                         1     0.00041      0.00%    97.94%
        FLUSHMENUTHEMES                                                                        1     0.00000      0.00%     1.07%
